,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
268,Tarik Black,2016-17,47,2.119,45,1.178,2218
269,Marquese Chriss,2016-17,47,1.324,45,1.333,3549
270,Jonas Valanciunas,2017-18,47,1.186,47,1.064,3963
271,Danilo Gallinari,2018-19,47,1.000,42,0.814,4701
272,D.J. Wilson,2020-21,46,5.169,42,1.048,890
273,Julius Randle,2018-19,46,0.969,40,1.300,4747
274,Gorgui Dieng,2016-17,46,0.887,45,1.044,5184
275,JaMychal Green,2019-20,46,1.430,44,0.932,3217
276,Daniel Theis,2017-18,46,2.605,44,0.864,1766
277,LaMarcus Aldridge,2017-18,46,0.885,40,1.000,5195
278,Chris Boucher,2020-21,46,1.552,43,0.814,2964
279,Mike Scott,2018-19,45,1.329,43,1.093,3385
280,Domantas Sabonis,2020-21,45,0.933,42,0.667,4821
281,Henry Sims,2014-15,45,1.630,40,0.725,2761
282,Ryan Anderson,2016-17,45,0.903,43,0.721,4985
283,  Nene,2015-16,45,2.011,42,1.024,2238
284,Thaddeus Young,2014-15,45,0.885,43,0.558,5083
285,Marquese Chriss,2018-19,45,4.500,42,1.214,1000
286,Montrezl Harrell,2020-21,45,1.358,42,0.976,3314
287,LeBron James,2018-19,44,1.068,41,0.854,4120
288,Robert Covington,2019-20,44,0.831,43,1.000,5295
289,Dwight Howard,2013-14,44,0.854,41,0.878,5150
290,Mike Muscala,2018-19,44,1.601,42,1.095,2748
291,Myles Turner,2019-20,44,1.105,43,0.628,3983
292,OG Anunoby,2019-20,44,0.863,40,0.975,5100
293,Nikola Vucevic,2017-18,44,1.265,39,1.205,3479
294,Dwight Howard,2014-15,44,1.243,40,0.825,3541
295,Lauri Markkanen,2018-19,43,1.279,42,1.024,3362
296,Daniel Theis,2018-19,43,2.166,43,0.767,1985
297,Quincy Acy,2016-17,43,3.819,41,0.756,1126
298,Derrick Favors,2017-18,43,0.891,40,1.000,4824
299,Ryan Anderson,2014-15,43,1.279,42,0.833,3361
300,Richaun Holmes,2016-17,43,1.745,41,0.902,2464
301,Markieff Morris,2018-19,43,1.545,40,0.775,2783
302,Anthony Davis,2018-19,43,1.089,38,0.947,3947
303,Markieff Morris,2016-17,43,0.777,41,1.000,5534
304,Omari Spellman,2019-20,43,2.357,40,1.075,1824
305,Willie Cauley-Stein,2020-21,43,2.205,40,0.850,1950
306,Frank Kaminsky,2019-20,42,2.657,39,0.821,1581
307,Tyson Chandler,2016-17,42,1.673,41,0.829,2511
308,Daniel Theis,2020-21,42,1.300,39,0.923,3231
309,David Lee,2016-17,42,1.245,39,1.103,3374
310,Deandre Ayton,2019-20,42,1.629,39,1.231,2578
311,Al Horford,2019-20,42,0.950,40,1.200,4420
312,Myles Turner,2020-21,41,1.367,37,0.730,2999
