,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
340,Cody Zeller,2013-14,24,23.529,20,1.250,102
341,Nerlens Noel,2018-19,24,19.835,22,0.913,121
342,Pau Gasol,2017-18,24,13.559,24,0.542,177
343,Al-Farouq Aminu,2018-19,24,2.981,20,0.500,805
344,Marcus Morris Sr.,2017-18,23,2.116,21,1.000,1087
345,Kris Humphries,2015-16,23,21.495,21,0.524,107
346,Draymond Green,2020-21,23,12.921,21,0.476,178
347,Al Horford,2019-20,23,9.055,22,1.045,254
348,Paul Millsap,2018-19,23,2.584,18,0.944,890
349,Kevin Seraphin,2016-17,23,19.658,21,0.952,117
350,Robin Lopez,2019-20,23,52.273,22,1.182,44
351,Mike Muscala,2015-16,22,17.188,20,1.000,128
352,Jason Thompson,2015-16,22,21.154,18,1.167,104
353,Eric Moreland,2018-19,22,35.484,19,0.789,62
354,Paul Millsap,2013-14,22,4.444,21,0.810,495
355,James Jones,2014-15,22,3.723,16,1.000,591
356,Rashard Lewis,2013-14,22,3.813,20,0.700,577
357,Robert Covington,2019-20,21,2.717,18,0.778,773
358,Luol Deng,2015-16,21,2.275,18,0.556,923
359,Serge Ibaka,2020-21,21,61.765,18,0.833,34
360,Boris Diaw,2015-16,20,6.601,17,0.529,303
361,Joe Johnson,2015-16,20,2.186,17,0.765,915
362,Boris Diaw,2013-14,20,1.717,15,1.467,1165
363,Kevin Durant,2016-17,20,1.803,17,1.235,1109
364,Khem Birch,2019-20,20,10.256,20,0.750,195
365,Boris Diaw,2014-15,20,5.277,17,1.000,379
366,Bam Adebayo,2020-21,20,7.042,18,1.056,284
367,Marreese Speights,2013-14,20,15.038,18,0.778,133
368,Spencer Hawes,2014-15,19,16.102,19,0.947,118
369,Clint Capela,2015-16,19,19.792,16,0.563,96
370,Jeff Withey,2016-17,19,47.500,16,0.941,40
371,Lucas Nogueira,2017-18,19,39.583,16,1.500,48
372,Drew Gooden,2013-14,19,7.308,17,0.471,260
373,Kelly Olynyk,2014-15,19,20.213,15,1.600,94
374,Ryan Anderson,2017-18,19,9.794,19,0.947,194
375,P.J. Tucker,2020-21,18,1.315,18,0.722,1369
376,Trevor Booker,2013-14,18,7.087,15,0.867,254
377,Tobias Harris,2020-21,18,2.000,18,1.056,900
378,Hassan Whiteside,2017-18,18,11.180,16,0.353,161
379,Zach Randolph,2016-17,18,5.455,18,0.722,330
380,Blake Griffin,2015-16,18,7.200,16,0.750,250
381,Mike Scott,2017-18,18,7.031,15,0.867,256
382,Luis Scola,2015-16,18,6.716,15,0.533,268
383,Taj Gibson,2016-17,18,7.692,17,1.353,234
384,Kawhi Leonard,2019-20,18,1.737,16,0.813,1036
385,Paul Millsap,2020-21,18,8.867,14,1.643,203
386,Zach Randolph,2013-14,18,4.082,17,1.412,441
387,Zach Randolph,2015-16,18,8.219,17,1.000,219
388,Zaza Pachulia,2017-18,18,35.294,16,0.813,51
389,Kendrick Perkins,2014-15,17,25.373,17,0.647,67
390,Nikola Mirotic,2016-17,17,5.574,14,1.357,305
391,Donatas Motiejunas,2018-19,17,51.515,14,0.857,33
392,Shawn Marion,2013-14,17,4.474,15,1.667,380
393,LaMarcus Aldridge,2014-15,17,4.337,13,0.800,392
394,Chris Andersen,2015-16,17,11.644,16,1.063,146
395,Wenyen Gabriel,2019-20,17,13.600,13,0.769,125
396,Kosta Koufos,2013-14,17,19.767,15,1.400,86
397,Bam Adebayo,2017-18,17,10.180,16,0.750,167
398,Jared Dudley,2018-19,17,9.605,16,1.000,177
399,Jordan Hill,2015-16,16,55.172,11,1.000,29
400,Kevin Love,2014-15,16,7.767,13,1.385,206
401,Pascal Siakam,2018-19,16,0.913,15,0.467,1752
402,Kelly Olynyk,2017-18,16,5.298,15,0.800,302
403,Gorgui Dieng,2019-20,16,53.333,15,1.563,30
404,Andre Iguodala,2019-20,16,1.882,13,1.357,850
405,JaVale McGee,2020-21,16,21.918,14,1.000,73
406,Meyers Leonard,2016-17,16,27.119,15,1.000,59
407,Daniel Theis,2018-19,15,16.667,13,0.846,90
408,Goga Bitadze,2020-21,15,18.072,12,1.000,83
409,JaVale McGee,2015-16,15,55.556,12,0.846,27
410,Spencer Hawes,2016-17,15,51.724,12,0.750,29
411,Tyler Zeller,2016-17,15,9.677,11,1.091,155
412,Boban Marjanovic,2020-21,15,9.202,13,0.571,163
413,Mike Muscala,2016-17,15,9.146,12,0.846,164
414,James Harden,2020-21,15,2.408,13,0.846,623
415,LeBron James,2019-20,15,0.980,13,1.000,1531
416,Dwight Powell,2015-16,15,12.821,14,1.286,117
417,Patrick Patterson,2014-15,15,7.282,10,1.300,206
418,JaMychal Green,2015-16,15,11.029,13,1.462,136
419,Cody Zeller,2020-21,15,23.810,13,1.385,63
420,Gorgui Dieng,2020-21,15,57.692,13,0.846,26
421,Terrence Jones,2013-14,15,5.597,11,1.091,268
422,Kawhi Leonard,2020-21,15,1.794,14,1.357,836
423,Dwight Powell,2020-21,15,15.625,13,0.692,96
424,Jimmy Butler,2019-20,15,0.945,15,0.533,1587
425,Mike Scott,2020-21,14,20.290,11,0.364,69
426,Nikola Mirotic,2018-19,14,2.240,12,0.917,625
427,Aron Baynes,2014-15,14,16.279,14,0.857,86
428,James Harden,2018-19,14,1.637,12,0.500,855
429,Nazr Mohammed,2014-15,14,51.852,13,0.143,27
430,Markieff Morris,2020-21,14,19.718,10,0.900,71
431,Solomon Hill,2017-18,14,5.645,12,1.000,248
432,Joe Johnson,2016-17,14,2.247,11,0.636,623
433,Jeff Green,2015-16,14,4.590,11,1.364,305
434,James Harden,2016-17,14,1.737,11,1.273,806
435,James Harden,2017-18,14,1.147,13,1.154,1221
436,Danilo Gallinari,2018-19,14,3.256,11,1.000,430
437,Boban Marjanovic,2015-16,14,17.949,13,1.308,78
438,Jordan Bell,2017-18,14,4.167,13,1.231,336
439,LeBron James,2017-18,13,0.743,11,0.636,1749
440,Montrezl Harrell,2020-21,13,13.265,10,1.400,98
441,Jonah Bolden,2018-19,13,7.831,11,1.273,166
442,James Harden,2019-20,13,1.438,10,1.100,904
443,Robert Covington,2020-21,13,2.876,9,1.000,452
444,Chuck Hayes,2013-14,13,19.697,10,0.200,66
445,Terance Mann,2020-21,13,1.774,11,0.455,733
446,Serge Ibaka,2017-18,13,2.515,13,1.077,517
447,Perry Jones III,2013-14,13,12.871,10,0.800,101
448,Paul Millsap,2016-17,12,2.740,12,1.583,438
449,Lavoy Allen,2015-16,12,12.121,9,1.500,99
450,Draymond Green,2013-14,12,2.632,10,1.100,456
451,Reggie Jackson,2020-21,12,1.000,10,0.900,1200
452,Domantas Sabonis,2017-18,12,3.896,11,0.583,308
453,Jabari Parker,2017-18,12,3.647,10,1.000,329
454,Tyler Hansbrough,2013-14,12,21.429,10,0.700,56
455,Jonas Jerebko,2015-16,12,3.647,12,1.000,329
456,LeBron James,2016-17,12,0.816,11,1.182,1470
457,Jae Crowder,2019-20,12,0.920,11,1.091,1304
458,Jeff Green,2020-21,12,4.040,11,0.636,297
459,Al-Farouq Aminu,2016-17,12,5.042,12,0.833,238
460,Kevin Durant,2017-18,12,0.739,10,0.800,1623
461,Jonas Jerebko,2016-17,12,4.598,11,2.000,261
462,Thaddeus Young,2014-15,12,3.279,9,1.111,366
463,Giannis Antetokounmpo,2014-15,11,2.850,10,0.600,386
464,Chris Boucher,2019-20,11,12.088,10,1.100,91
465,Montrezl Harrell,2016-17,11,26.190,11,1.000,42
466,Ian Mahinmi,2016-17,11,8.800,11,1.364,125
467,Gerald Green,2016-17,11,2.981,10,1.100,369
468,Patrick Patterson,2016-17,11,3.064,8,1.125,359
469,Ersan Ilyasova,2019-20,11,21.569,10,1.200,51
470,Harrison Barnes,2013-14,11,3.448,10,1.500,319
471,Kelly Olynyk,2015-16,11,16.667,8,1.333,66
472,Ekpe Udoh,2017-18,11,23.913,11,0.636,46
473,Jae Crowder,2016-17,11,0.950,11,1.455,1158
474,Nick Collison,2015-16,11,7.285,10,0.800,151
475,Jeff Green,2014-15,10,1.748,9,0.889,572
476,Amir Johnson,2013-14,10,2.809,9,1.000,356
477,James Michael McAdoo,2015-16,10,12.821,9,1.000,78
478,Gordon Hayward,2018-19,10,1.852,10,1.400,540
479,Kyle Kuzma,2019-20,10,1.011,9,1.444,989
