Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2019-20,Washington Wizards,25,-5,25,47,34.70%,28.8,25.3,19,-0.3,17,110.7,30,115.7,15,-0.4
2018-19,Utah Jazz,3,6.7,50,32,61.00%,57.8,57.8,30,-7.8,14,111.4,1,104.7,12,0.1
2018-19,Milwaukee Bucks,1,9.1,60,22,73.20%,62.4,62.4,25,-2.4,3,114.9,2,105.8,1,2.6
2018-19,Oklahoma City Thunder,8,3.7,49,33,59.80%,50.7,50.7,24,-1.7,16,110.5,3,106.7,21,-0.6
2018-19,Indiana Pacers,10,2.9,48,34,58.50%,48.6,48.6,19,-0.6,18,110,4,107.1,5,1.6
2018-19,Toronto Raptors,4,6.1,58,24,70.70%,56.2,56.2,7,1.8,6,113.5,5,107.3,8,0.6
2018-19,Miami Heat,16,-0.1,39,43,47.60%,40.6,40.6,22,-1.6,26,107.6,6,107.7,19,-0.1
2018-19,Boston Celtics,7,4.2,49,33,59.80%,51.8,51.8,27,-2.8,10,112.1,7,107.9,16,0
2018-19,Orlando Magic,13,0.9,42,40,51.20%,43.4,43.4,21,-1.4,22,109.4,8,108.4,2,2.4
2018-19,Golden State Warriors,2,8,57,25,69.50%,59.8,59.8,26,-2.8,1,116.6,9,108.6,25,-1.5
2018-19,Memphis Grizzlies,25,-3.2,33,49,40.20%,32.7,32.7,12,0.3,27,106.1,10,109.2,11,0.3
2018-19,Denver Nuggets,9,3.6,54,28,65.90%,50.2,50.2,3,3.8,7,112.9,11,109.3,15,0.1
2018-19,Detroit Pistons,15,0.2,41,41,50.00%,41.5,41.5,18,-0.5,21,109.5,12,109.3,18,-0.1
2018-19,Philadelphia 76ers,11,2.6,51,31,62.20%,47.6,47.6,4,3.4,9,112.2,13,109.6,22,-0.6
2018-19,Los Angeles Lakers,22,-1.6,37,45,45.10%,36.8,36.8,14,0.2,23,108.3,14,109.8,23,-0.9
2018-19,Brooklyn Nets,17,-0.2,42,40,51.20%,40.5,40.5,8,1.5,20,109.7,15,109.9,4,1.7
2018-19,Portland Trail Blazers,6,4.4,53,29,64.60%,51.9,51.9,9,1.1,4,114.8,16,110.4,3,1.8
