,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
482,Cheick Diallo,2018-19,552,28.483,470,0.960,1938
483,Jason Smith,2014-15,552,16.468,466,0.968,3352
484,Chris Bosh,2014-15,551,19.020,480,0.893,2897
485,Ian Mahinmi,2019-20,549,32.543,459,1.024,1687
486,Al Horford,2020-21,548,34.165,478,1.019,1604
487,Cole Aldrich,2015-16,548,31.898,461,0.849,1718
488,Jason Smith,2015-16,548,23.930,475,0.832,2290
489,Kevin Love,2019-20,546,15.079,483,1.031,3621
490,Glen Davis,2013-14,543,15.514,460,0.830,3500
491,Aron Baynes,2014-15,543,23.598,469,0.838,2301
492,Frank Kaminsky,2016-17,542,13.987,468,0.958,3875
493,Nick Collison,2013-14,542,18.091,418,0.792,2996
494,Paul Millsap,2014-15,540,9.380,457,0.770,5757
495,Alexis Ajinca,2015-16,539,31.337,458,0.888,1720
496,John Collins,2020-21,539,10.920,461,1.013,4936
497,Robert Sacre,2013-14,538,23.932,452,0.763,2248
498,Khem Birch,2018-19,537,35.920,451,0.881,1495
499,Zach Randolph,2014-15,530,10.452,445,0.871,5071
500,Julius Randle,2016-17,528,12.110,476,1.104,4360
501,Jason Thompson,2014-15,527,13.471,452,0.952,3912
502,Serge Ibaka,2016-17,526,9.830,449,0.938,5351
503,David Lee,2013-14,523,10.682,443,0.787,4896
504,Christian Wood,2019-20,523,19.766,445,0.933,2646
505,Tony Bradley,2019-20,522,35.852,448,0.943,1456
506,Montrezl Harrell,2016-17,522,23.440,461,1.019,2227
507,Alexis Ajinca,2014-15,520,28.587,448,0.873,1819
508,Miles Plumlee,2015-16,519,30.494,436,0.815,1702
509,Marcin Gortat,2018-19,519,33.833,440,1.002,1534
510,Tony Bradley,2020-21,519,36.730,442,0.946,1413
511,P.J. Tucker,2019-20,518,8.554,456,0.899,6056
512,Julius Randle,2018-19,517,10.891,433,1.043,4747
513,Amir Johnson,2015-16,516,13.351,446,0.842,3865
514,Isaiah Roby,2020-21,516,17.269,446,0.956,2988
515,JaVale McGee,2017-18,515,32.431,434,0.923,1588
516,Markieff Morris,2018-19,513,18.433,404,0.993,2783
517,Draymond Green,2016-17,508,7.954,445,0.891,6387
518,Kelly Olynyk,2019-20,508,15.980,438,0.953,3179
519,Joel Embiid,2016-17,508,32.050,432,0.889,1585
520,Nikola Pekovic,2014-15,506,33.377,445,0.857,1516
521,Drew Eubanks,2020-21,502,31.914,436,0.921,1573
522,Andrea Bargnani,2013-14,502,21.629,428,0.933,2321
523,Justin Hamilton,2016-17,501,20.814,432,0.991,2407
524,Moritz Wagner,2019-20,500,27.579,430,1.090,1813
525,Dwight Powell,2017-18,493,14.917,430,1.018,3305
526,LaMarcus Aldridge,2020-21,490,35.688,418,1.002,1373
527,Channing Frye,2014-15,485,13.435,407,0.925,3610
528,Spencer Hawes,2014-15,484,18.502,414,0.941,2616
529,Al Horford,2013-14,484,25.827,407,0.935,1874
530,JaVale McGee,2020-21,484,33.151,390,0.861,1460
531,Kenneth Faried,2014-15,481,11.630,415,0.931,4136
532,Tristan Thompson,2013-14,481,9.719,416,0.940,4949
533,Roy Hibbert,2016-17,480,35.242,409,0.933,1362
534,Amir Johnson,2013-14,478,10.722,410,0.859,4458
535,Markieff Morris,2013-14,477,11.179,393,0.896,4267
536,Glen Davis,2014-15,476,22.962,388,0.853,2073
537,Festus Ezeli,2014-15,475,34.222,403,0.766,1388
538,Salah Mejri,2017-18,471,33.053,399,0.854,1425
539,Hassan Whiteside,2020-21,470,41.264,406,0.966,1139
540,Kyle O'Quinn,2015-16,470,31.629,398,0.833,1486
541,Brandan Wright,2013-14,468,21.043,409,0.894,2224
542,Daniel Gafford,2019-20,467,37.182,401,0.869,1256
543,Cody Zeller,2017-18,467,36.743,382,1.018,1271
544,Spencer Hawes,2016-17,467,28.668,398,1.007,1629
545,Luke Kornet,2018-19,466,30.065,401,0.966,1550
546,Blake Griffin,2014-15,464,8.088,405,0.963,5737
547,Jermaine O'Neal,2013-14,462,25.109,392,0.848,1840
548,Joakim Noah,2018-19,460,32.578,387,0.879,1412
549,Taj Gibson,2014-15,457,12.209,386,0.925,3743
550,  Nene,2018-19,456,37.624,373,0.958,1212
551,Kyle O'Quinn,2013-14,456,19.487,398,0.775,2340
552,Kenneth Faried,2013-14,451,10.160,384,0.921,4439
553,Harry Giles III,2019-20,451,32.446,384,0.977,1390
554,John Henson,2019-20,451,36.967,380,0.890,1220
555,P.J. Washington,2020-21,450,11.144,401,0.908,4038
556,Ed Davis,2014-15,450,12.587,384,0.877,3575
557,Anthony Davis,2014-15,450,8.961,387,0.820,5022
558,Bruno Fernando,2019-20,447,29.920,382,0.892,1494
559,Brandon Bass,2014-15,445,11.067,384,0.774,4021
560,Carlos Boozer,2014-15,444,13.285,397,0.888,3342
561,Dwight Powell,2019-20,443,21.257,368,1.040,2084
562,Ekpe Udoh,2017-18,443,26.816,385,0.899,1652
563,Dewayne Dedmon,2014-15,441,27.138,385,0.861,1625
564,Dirk Nowitzki,2015-16,440,9.046,380,0.853,4864
565,Tyler Zeller,2015-16,440,28.986,399,0.886,1518
566,Jordan Hill,2013-14,440,14.662,385,0.964,3001
567,Mike Muscala,2016-17,438,16.641,375,0.969,2632
568,Lavoy Allen,2014-15,437,21.401,386,0.918,2042
569,Kristaps Porzingis,2016-17,437,10.142,366,0.866,4309
570,Kenneth Faried,2018-19,436,26.964,376,0.955,1617
571,Josh Smith,2014-15,436,8.001,366,0.789,5449
572,Mo Bamba,2020-21,435,29.332,377,0.977,1483
573,Bobby Portis,2019-20,435,15.328,370,0.912,2838
574,Jason Thompson,2013-14,434,11.335,382,0.917,3829
575,Onyeka Okongwu,2020-21,433,27.685,373,0.968,1564
576,John Collins,2019-20,431,14.796,375,0.987,2913
577,David Lee,2015-16,430,23.106,355,0.934,1861
578,Paul Millsap,2013-14,430,8.122,377,0.846,5294
579,Kosta Koufos,2018-19,429,39.649,375,0.913,1082
580,Jahlil Okafor,2019-20,427,43.483,362,0.989,982
581,Quincy Acy,2017-18,427,15.981,368,0.979,2672
582,Boban Marjanovic,2019-20,427,41.336,354,0.939,1033
583,Lavoy Allen,2013-14,426,19.181,367,0.916,2221
584,Taj Gibson,2013-14,426,9.215,362,0.851,4623
585,Thon Maker,2016-17,425,32.692,346,1.014,1300
586,Pero Antic,2013-14,424,20.613,360,0.777,2057
587,Kris Humphries,2013-14,424,16.073,375,0.889,2638
588,Frank Kaminsky,2019-20,423,26.755,358,0.912,1581
589,Daniel Theis,2017-18,421,23.839,352,0.880,1766
590,Meyers Leonard,2015-16,420,16.166,358,0.981,2598
591,Draymond Green,2017-18,420,6.559,365,0.886,6403
592,Brandon Bass,2013-14,418,9.524,364,0.946,4389
593,Ryan Anderson,2014-15,418,12.437,363,0.938,3361
594,Chuck Hayes,2013-14,417,28.523,358,0.872,1462
