Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Patrick Patterson,2017-18,594,24.958,491,0.966,2380,ff4174a1-89ef-11e6-a875-a45e60e298d3
Cody Zeller,2020-21,591,28.787,513,1.021,2053,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
Miles Plumlee,2015-16,591,34.724,492,0.850,1702,ff410780-89ef-11e6-8115-a45e60e298d3
Frank Kaminsky,2016-17,591,15.252,506,0.947,3875,ff403042-89ef-11e6-b2e2-a45e60e298d3
Draymond Green,2015-16,590,10.073,501,0.874,5857,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Brandon Bass,2013-14,589,13.685,490,0.935,4304,ff402a33-89ef-11e6-9162-a45e60e298d3
Anthony Davis,2014-15,588,12.540,498,0.835,4689,ff41df59-89ef-11e6-810a-a45e60e298d3
Dewayne Dedmon,2019-20,588,37.262,498,1.010,1578,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Serge Ibaka,2014-15,588,14.121,487,0.830,4164,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Channing Frye,2014-15,587,16.278,485,0.917,3606,ff402140-89ef-11e6-aa13-a45e60e298d3
  Nene,2017-18,585,38.136,482,0.912,1534,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Dwight Powell,2020-21,584,29.964,511,0.871,1949,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Jason Thompson,2013-14,584,15.524,496,0.950,3762,ff41874c-89ef-11e6-9279-a45e60e298d3
James Wiseman,2020-21,580,32.115,499,0.944,1806,88639446-d11c-449f-99ea-0f9ec257d48b
Julius Randle,2016-17,578,13.272,515,1.092,4355,ff42e1d4-89ef-11e6-9502-a45e60e298d3
