Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Brandon Bass,2015-16,74,2.792,67,0.955,2650,ff402a33-89ef-11e6-9162-a45e60e298d3
Maxi Kleber,2021-22,73,1.969,67,0.926,3707,d6b3074b-83cc-4284-a649-8c9459d88626
Bismack Biyombo,2019-20,72,3.557,70,1.114,2024,ff401757-89ef-11e6-994b-a45e60e298d3
Kelly Olynyk,2021-22,72,4.598,70,0.743,1566,ff426326-89ef-11e6-a607-a45e60e298d3
Isaiah Hartenstein,2021-22,71,2.835,68,1.015,2504,370d6957-0b6e-490c-a4c0-73650617fd7b
Clint Capela,2015-16,71,2.314,66,0.530,3068,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Richaun Holmes,2018-19,70,2.867,59,0.847,2442,ff4271de-89ef-11e6-83dc-a45e60e298d3
Jae'Sean Tate,2021-22,70,1.639,65,0.954,4272,80383c81-b671-4a11-b003-ae08fba34eb8
Jordan Bell,2017-18,69,3.522,65,0.846,1959,07a35d50-2dd1-4476-a9ac-b6e7154ce069
Xavier Tillman,2021-22,69,3.984,66,1.106,1732,6f81f6a8-9bdf-45e7-b034-e889bce73ce3
Anthony Davis,2017-18,69,1.069,61,0.918,6452,ff41df59-89ef-11e6-810a-a45e60e298d3
Jerami Grant,2017-18,68,1.945,63,1.032,3497,ff41d0d1-89ef-11e6-aad4-a45e60e298d3
Carmelo Anthony,2021-22,68,1.818,68,0.956,3740,ff41a705-89ef-11e6-8b57-a45e60e298d3
Marcin Gortat,2016-17,68,1.148,62,0.774,5923,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Willie Cauley-Stein,2019-20,68,3.020,57,0.776,2252,ff402fd4-89ef-11e6-b6dd-a45e60e298d3
Jeff Green,2018-19,68,1.568,64,0.953,4336,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Tyson Chandler,2013-14,68,2.219,64,0.813,3064,ff41601e-89ef-11e6-a4cc-a45e60e298d3
Dwight Powell,2021-22,68,1.708,62,0.887,3982,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Damian Jones,2019-20,68,3.613,66,1.121,1882,ff42a38f-89ef-11e6-bb34-a45e60e298d3
JJ Hickson,2014-15,68,2.417,62,0.984,2813,ff426a87-89ef-11e6-b954-a45e60e298d3
Dwight Powell,2016-17,67,2.685,63,0.841,2495,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Jakob Poeltl,2021-22,67,1.625,61,0.852,4123,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
Eric Paschall,2021-22,67,4.428,60,1.049,1513,b3952f61-6f6e-4e7c-8c36-98de98e9a1a8
Serge Ibaka,2019-20,67,1.852,65,0.969,3618,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Mo Bamba,2021-22,67,1.788,61,1.066,3747,ee761e41-d0d2-4a56-84cf-353e2ae5a961
Julius Randle,2016-17,67,1.538,67,1.104,4355,ff42e1d4-89ef-11e6-9502-a45e60e298d3
Anthony Davis,2016-17,67,1.221,58,0.810,5489,ff41df59-89ef-11e6-810a-a45e60e298d3
