,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
389,Terrence Jones,2016-17,33,1.280,33,0.879,2579
390,Robert Covington,2019-20,33,0.730,32,1.094,4522
391,Nerlens Noel,2019-20,33,1.448,30,0.800,2279
392,John Henson,2013-14,33,0.949,30,0.733,3476
393,OG Anunoby,2019-20,33,0.766,29,1.103,4310
394,Rui Hachimura,2020-21,33,0.848,31,1.281,3893
395,Salah Mejri,2017-18,33,2.316,33,0.939,1425
396,Al-Farouq Aminu,2016-17,33,0.932,28,0.679,3539
397,Kris Humphries,2013-14,33,1.251,30,0.833,2638
398,Mike Scott,2017-18,33,1.167,31,1.097,2828
399,Brook Lopez,2015-16,33,0.686,31,1.161,4810
400,Kevin Love,2016-17,32,0.845,29,0.759,3785
401,JaMychal Green,2016-17,32,0.794,29,0.690,4028
402,Jahlil Okafor,2018-19,32,1.624,29,0.966,1971
403,Anderson Varejao,2013-14,32,0.936,30,0.800,3417
404,DeAndre Jordan,2019-20,32,1.234,30,0.500,2593
405,Greg Monroe,2017-18,32,1.553,30,0.800,2060
406,Jahlil Okafor,2016-17,32,1.426,31,1.355,2244
407,Amir Johnson,2018-19,32,2.857,29,0.862,1120
408,Ivica Zubac,2018-19,32,1.445,28,1.143,2215
409,Ed Davis,2017-18,32,1.110,30,1.100,2884
410,P.J. Washington,2019-20,32,0.929,29,0.690,3443
411,Joey Dorsey,2014-15,32,1.871,30,0.533,1710
412,Joakim Noah,2013-14,32,0.614,32,0.906,5209
413,Chris Boucher,2019-20,31,1.821,28,1.250,1702
414,Miles Bridges,2018-19,31,0.892,29,0.483,3476
415,Dario Saric,2019-20,31,0.926,30,0.667,3349
416,Timofey Mozgov,2015-16,31,1.209,26,1.077,2565
417,Mason Plumlee,2015-16,31,0.741,29,0.966,4182
418,Brandon Bass,2014-15,31,0.805,29,0.828,3853
419,Michael Kidd-Gilchrist,2018-19,31,1.276,27,0.963,2430
420,Taj Gibson,2017-18,31,0.572,29,0.724,5423
421,DeMarcus Cousins,2014-15,31,0.775,30,1.000,4000
422,Kevin Durant,2016-17,31,0.718,29,0.931,4317
423,Joffrey Lauvergne,2015-16,31,1.505,28,1.250,2060
424,Mirza Teletovic,2015-16,31,0.894,27,0.889,3467
425,Nikola Vucevic,2014-15,31,0.629,29,1.069,4926
426,LaMarcus Aldridge,2015-16,31,0.711,31,0.581,4363
427,Drew Eubanks,2020-21,31,1.978,29,0.828,1567
428,Taj Gibson,2013-14,31,0.712,29,1.310,4352
429,Jusuf Nurkic,2015-16,31,2.862,26,0.923,1083
430,Kevin Seraphin,2014-15,31,1.340,29,0.586,2314
431,Giannis Antetokounmpo,2019-20,31,0.754,28,0.607,4113
432,Robin Lopez,2015-16,31,0.729,29,1.333,4250
433,Kevon Looney,2019-20,30,5.607,27,0.519,535
434,Anthony Davis,2013-14,30,0.659,27,0.519,4552
435,Trevor Booker,2016-17,30,0.828,28,1.357,3623
436,Greg Monroe,2015-16,30,0.662,28,1.000,4530
437,Dewayne Dedmon,2019-20,30,1.902,30,1.267,1577
438,Bam Adebayo,2017-18,30,1.134,29,1.000,2646
439,Tristan Thompson,2018-19,30,1.265,29,1.069,2371
440,Rudy Gay,2019-20,30,0.997,30,0.833,3009
441,Nikola Vucevic,2020-21,30,0.630,29,1.276,4764
442,Jared Sullinger,2015-16,30,0.782,27,1.037,3837
443,Devonte' Graham,2020-21,30,0.902,29,0.828,3326
444,Juan Toscano-Anderson,2020-21,30,1.277,28,1.000,2349
445,Marvin Bagley III,2019-20,30,4.380,29,1.241,685
446,Oshae Brissett,2020-21,30,2.632,28,0.857,1140
447,Kendrick Perkins,2013-14,30,1.263,26,0.846,2376
448,Carmelo Anthony,2020-21,30,0.881,30,1.400,3405
449,Kosta Koufos,2018-19,29,2.680,28,0.893,1082
