,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
229,Anderson Varejao,2013-14,886,25.929,727,0.864,3417
230,Jared Sullinger,2013-14,885,22.582,786,0.825,3919
231,Derrick Favors,2013-14,884,21.214,769,0.943,4167
232,Derrick Favors,2018-19,878,24.288,736,0.891,3615
233,Dirk Nowitzki,2017-18,876,23.372,737,0.953,3748
234,Jordan Hill,2015-16,876,29.605,736,0.790,2959
235,Kevon Looney,2020-21,875,36.157,763,0.889,2420
236,Derrick Favors,2014-15,871,20.432,758,0.885,4263
237,Jarrett Allen,2017-18,862,30.150,761,0.948,2859
238,Jordan Hill,2014-15,860,23.427,765,0.925,3671
239,Bismack Biyombo,2020-21,858,31.155,732,0.938,2754
240,Jaxson Hayes,2019-20,857,36.329,726,0.943,2359
241,Jakob Poeltl,2018-19,854,32.658,732,0.958,2615
242,Willie Cauley-Stein,2019-20,852,37.833,724,0.941,2252
243,Al Horford,2016-17,851,19.487,740,0.946,4367
244,Steven Adams,2014-15,846,24.493,741,0.838,3454
245,Tim Duncan,2015-16,846,28.678,739,0.801,2950
246,Dwight Powell,2018-19,845,24.963,717,0.993,3385
247,Donatas Motiejunas,2014-15,844,21.351,711,0.932,3953
248,Karl-Anthony Towns,2016-17,844,14.214,720,0.934,5938
249,Kristaps Porzingis,2019-20,843,22.839,706,0.974,3691
250,Marc Gasol,2020-21,842,41.704,694,0.896,2019
251,Aron Baynes,2015-16,840,34.942,706,0.907,2404
252,Andre Drummond,2020-21,839,33.547,711,1.006,2501
253,JaVale McGee,2019-20,835,35.441,706,0.956,2356
254,Marc Gasol,2013-14,835,22.952,702,0.874,3638
255,Nerlens Noel,2015-16,834,21.082,734,0.942,3956
256,Nerlens Noel,2018-19,832,38.130,666,0.831,2182
257,Enes Freedom,2019-20,832,41.683,713,0.988,1996
258,Amir Johnson,2016-17,827,25.836,704,0.893,3201
259,Tristan Thompson,2014-15,827,20.019,701,0.958,4131
260,Ian Mahinmi,2017-18,827,36.256,685,0.951,2281
261,Jahlil Okafor,2015-16,825,26.400,725,0.896,3125
262,Kosta Koufos,2014-15,824,31.864,690,0.831,2586
263,Timofey Mozgov,2015-16,823,32.086,710,0.936,2565
264,Ante Zizic,2018-19,822,37.534,696,0.935,2190
265,Chris Andersen,2013-14,822,31.494,670,0.816,2610
266,Naz Reid,2020-21,819,28.930,693,1.001,2831
267,Ed Davis,2017-18,817,28.329,693,0.952,2884
268,Tyson Chandler,2015-16,817,25.100,693,0.888,3255
269,Mason Plumlee,2014-15,813,24.495,704,0.885,3319
270,Robin Lopez,2014-15,810,25.352,724,0.833,3195
271,Carlos Boozer,2013-14,806,19.955,692,0.830,4039
272,Marc Gasol,2019-20,802,33.209,683,0.873,2415
273,Mitchell Robinson,2018-19,800,28.839,684,0.999,2774
274,Hassan Whiteside,2014-15,797,36.898,672,0.916,2160
275,Tristan Thompson,2019-20,795,22.624,678,0.936,3514
276,Mason Plumlee,2017-18,791,27.043,675,1.037,2925
277,  Nene,2015-16,790,35.299,653,0.881,2238
278,Zach Randolph,2016-17,790,23.596,672,0.872,3348
279,Meyers Leonard,2016-17,789,32.257,684,0.949,2446
280,Derrick Favors,2020-21,785,36.959,666,0.957,2124
281,Jakob Poeltl,2019-20,782,31.997,658,0.964,2444
282,Gorgui Dieng,2019-20,781,33.737,646,0.875,2315
283,Ivica Zubac,2018-19,780,35.214,664,0.955,2215
284,Daniel Theis,2020-21,779,24.110,636,0.928,3231
285,Amir Johnson,2017-18,778,31.833,653,0.903,2444
286,John Collins,2017-18,776,21.939,669,0.985,3537
287,Omer Asik,2015-16,772,33.090,633,1.002,2333
288,Kosta Koufos,2015-16,769,25.650,652,0.961,2998
289,Mason Plumlee,2019-20,768,35.246,633,0.928,2179
290,Marquese Chriss,2019-20,768,30.806,666,0.981,2493
291,Tyson Chandler,2018-19,767,40.972,652,0.871,1872
292,Jaxson Hayes,2020-21,766,37.846,631,1.014,2024
293,Kelly Olynyk,2017-18,764,22.372,628,0.938,3415
294,Aron Baynes,2016-17,764,33.290,657,0.816,2295
295,Alex Len,2019-20,763,37.075,641,0.933,2058
296,Bam Adebayo,2017-18,762,28.798,651,0.874,2646
297,Chris Kaman,2014-15,761,28.092,648,0.835,2709
298,Greg Monroe,2013-14,760,14.397,655,0.941,5279
299,Greg Monroe,2017-18,760,36.893,641,0.978,2060
300,Kyle O'Quinn,2016-17,758,31.465,655,0.913,2409
301,Serge Ibaka,2013-14,757,14.291,665,0.848,5297
302,Wendell Carter Jr.,2018-19,757,34.362,641,0.915,2203
303,Dewayne Dedmon,2016-17,756,29.531,663,0.796,2560
304,Deandre Ayton,2019-20,756,29.325,653,0.974,2578
305,Bismack Biyombo,2014-15,755,31.978,642,0.845,2361
306,Kevin Love,2014-15,755,15.798,639,0.924,4779
307,Aron Baynes,2019-20,755,39.200,644,0.979,1926
308,Marreese Speights,2014-15,753,30.314,632,0.799,2484
309,Thomas Bryant,2019-20,748,30.820,641,0.954,2427
310,Henry Sims,2014-15,747,27.055,642,0.857,2761
311,Tristan Thompson,2018-19,747,31.506,655,1.051,2371
312,DeMarcus Cousins,2018-19,746,46.049,625,0.899,1620
313,Nerlens Noel,2019-20,745,32.690,617,0.927,2279
314,Willy Hernangomez,2016-17,744,28.012,653,0.962,2656
315,Channing Frye,2016-17,741,26.664,643,0.906,2779
316,Bobby Portis,2018-19,740,28.158,643,1.053,2628
317,Gorgui Dieng,2018-19,740,34.323,621,1.010,2156
318,Xavier Tillman,2020-21,739,33.109,615,0.899,2232
319,Greg Monroe,2014-15,736,17.890,663,0.875,4114
320,Taj Gibson,2019-20,736,35.624,633,1.022,2066
321,Tristan Thompson,2020-21,736,28.102,633,0.969,2619
322,Aron Baynes,2020-21,734,36.499,639,0.969,2011
323,Aron Baynes,2018-19,733,42.916,613,0.833,1708
324,Tyson Chandler,2017-18,729,30.995,616,0.982,2352
325,Clint Capela,2015-16,728,24.479,619,0.935,2974
